param_MLP__max_iter,train acc,test acc
1,0.5000000000000001,0.5
2,0.5000000000000001,0.5
4,0.7139872228674474,0.7184840577176005
8,0.7736192183223812,0.762869002638041
16,0.779550994568378,0.7693597618920911
32,0.7724969875530215,0.7572901541011274
64,0.7950083250794799,0.7776097219793671
128,0.7965226138822272,0.7675057208237988
256,0.8333021195225,0.7808833256042028
512,0.8399863790471116,0.7732207477743905
1024,0.8399863790471116,0.7732207477743905
2048,0.8399863790471116,0.7732207477743905
2100,0.8399863790471116,0.7732207477743905
2200,0.8399863790471116,0.7732207477743905
2300,0.8399863790471116,0.7732207477743905
2400,0.8399863790471116,0.7732207477743905
2500,0.8399863790471116,0.7732207477743905
2600,0.8399863790471116,0.7732207477743905
2700,0.8399863790471116,0.7732207477743905
2800,0.8399863790471116,0.7732207477743905
2900,0.8399863790471116,0.7732207477743905
3000,0.8399863790471116,0.7732207477743905
