,0,1,2,3,4
77,0.926020408163265,0.9614814814814816,0.9614814814814816,0.9614814814814816,0.9614814814814816
128,0.915616506053867,0.9273092369477911,0.9273092369477911,0.9273092369477911,0.9273092369477911
257,0.8488089450656296,0.9272292993630574,0.9272292993630574,0.9272292993630574,0.9272292993630574
515,0.887179841957999,0.8917507316769412,0.8917507316769412,0.8917507316769412,0.8917507316769412
772,0.908935709526982,0.8678232781077421,0.9209843400447427,0.9209843400447427,0.9209843400447427
1030,0.9170633926334253,0.9228425898716819,0.904744773942635,0.904744773942635,0.904744773942635
1287,0.8868766404199476,0.9282275169329584,0.9115474614132798,0.9062121697197681,0.9062121697197681
1545,0.926610795017684,0.8376894230634812,0.9139933666978876,0.9018338727076591,0.9018338727076591
1802,0.8869963121556773,0.9278532354213895,0.9217834699321202,0.9130749126572842,0.9130749126572842
2060,0.8978814814814815,0.9350567901234567,0.800158024691358,0.8777679012345678,0.8999133414894284
2317,0.9341038952939984,0.9350299727945244,0.8935517566630028,0.8993958669504141,0.9299458907892644
2575,0.9361137425792597,0.9347507729708489,0.9299925956531684,0.9141376905261004,0.907824410842693
