,train,test
0.1,8.569659,0.000656
0.2,7.809636,0.017339
0.3,7.523027,0.016785
0.4,5.959589,0.02014
0.5,4.314583,0.018228
0.6,3.502851,0.035506
0.7,4.058237,0.029089
0.8,4.263776,0.032699
0.9,2.200649,0.051547
,,
,5.355778556,0.024665444
