mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07328405380249023,0.00783116846998773,0.0029195308685302734,0.00047211354457718074,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7544038235611967,0.7484587597096829,0.7389550993185545,0.7481607644302366,0.7497753088684214,0.7479511036988759,0.005024349077164258,23,0.9440455228341115,0.9429313929313929,0.9416728902165797,0.9400334036697674,0.9415976325067233,0.942056168431715,0.0013544211700983481
0.06497869491577149,0.002378668392947633,0.0023378849029541014,0.00017950049521829614,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.753441658270961,0.7489384603834462,0.7476268129542754,0.7658050231241893,0.7521025761962783,0.7535820379047654,0.006459002701031727,20,0.9438807598286945,0.9450103950103951,0.9454685828472237,0.940591513318786,0.9421457876003331,0.9434194077210865,0.001820016482456444
1.0688366889953613,0.1450158650008367,0.002367258071899414,0.00054106655820086,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7845690998525376,0.7692277473884903,0.7586372310577161,0.7683707381835174,0.7756307291871377,0.7712880549406147,0.00858059125403356,13,0.8911701327840286,0.8802343418848272,0.8868427426679854,0.8632215995852359,0.8591625682534774,0.8761262770351109,0.012746250774072189
1.0695194244384765,0.08659360572033757,0.0022370338439941405,0.00033939540526415756,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.778797851164185,0.766124751856385,0.7629619574231824,0.7697228154301011,0.7778291648652071,0.771087494295811,0.006283881404998749,14,0.8978867220773913,0.891220757725612,0.8768372928567103,0.8634248088793544,0.8649017921745193,0.8788542747427174,0.013798350303470302
0.9659351825714111,0.09730149384494911,0.002063941955566406,0.0002703843876248265,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.781158816536693,0.7740094770346031,0.7570257161464018,0.761101139395845,0.7755464427179547,0.7697694576317207,0.009150446571858848,17,0.9047294350227972,0.8966271723553276,0.907972872050542,0.8637785365058092,0.8622178258541895,0.8870651683577331,0.020001239778904948
0.9722885608673095,0.13227091435338928,0.0020852088928222656,0.0003707639650235476,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7817697566349315,0.7657725057747408,0.7661622898526941,0.7710399552801322,0.7653945087146968,0.770029028965169,0.006220555294698055,16,0.8981791368448718,0.8888349514563106,0.8755929192822397,0.8653339835158016,0.8655477473659291,0.8786977476930307,0.01298799510680189
0.9674554347991944,0.10856670967993035,0.0022621631622314455,0.00031699865302173855,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7725899676837963,0.7684555995341797,0.763778627087069,0.7809835750564457,0.7508107659587475,0.7673243548487719,0.010007190438092057,19,0.9227713934311353,0.9006045253618069,0.8965474436348222,0.8828309828309828,0.9053638417274782,0.901623637397245,0.012970635387691153
0.8357113838195801,0.0320654845694457,0.0019385337829589844,9.130060725486133e-05,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7568101083133172,0.7575879131143792,0.7488860817839453,0.7943838135041772,0.7813399365012818,0.7677974927695531,0.01716182024435423,18,0.9131917808637838,0.8977312637506811,0.9289445532163978,0.875733684824594,0.8704553704553705,0.8972113306221653,0.02208987645982261
0.8833226203918457,0.07426867856922398,0.002113008499145508,0.000539659147153553,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.783037827737552,0.7642810251539495,0.762527215047324,0.7653499635340922,0.7764229346539668,0.7703247178083332,0.008011894044594911,15,0.9081721577481072,0.8891851522919485,0.8797408311971419,0.8765348219893674,0.8602600511691421,0.8827786028791413,0.015755472268194924
0.8246617317199707,0.012370992492368544,0.0019441604614257812,0.00021071398951476886,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.767257968367073,0.7670016569096977,0.767526315881366,0.7929775832929369,0.7747638450351776,0.7739033534260468,0.009969349987450034,12,0.9041441143096152,0.8771340048039078,0.8894687443231133,0.868280313734859,0.8680934953662226,0.8814241345075435,0.013782484584325804
0.8770683288574219,0.05917802124997552,0.0023516178131103515,0.000578439727898599,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7544038235611967,0.7484587597096829,0.7389550993185545,0.7481607644302366,0.7497753088684214,0.7479511036988759,0.005024349077164258,23,0.9440455228341115,0.9429313929313929,0.9416728902165797,0.9400334036697674,0.9415976325067233,0.942056168431715,0.0013544211700983481
