mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
31.932050895690917,0.47600978002642674,0.3945018291473389,0.009808720178351054,0.1,0.2,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 100}",0.7205659344681771,0.7274422831482332,0.7165444790337197,0.7409597302832986,0.7364628506295282,0.728392784761759,0.009225712803533345,169,0.7348324165400881,0.7285277435762872,0.7337222211008618,0.7277978368887459,0.7305239668876031,0.7310808369987172,0.002780566096918908
30.295135831832887,1.4068054241243704,0.38733587265014646,0.03037184207950657,0.1,0.4,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 100}",0.7402772500200451,0.7419974229729046,0.7421397181682156,0.7572169743341151,0.7570086601071705,0.7477259131802236,0.007690628196528007,163,0.7476065976805034,0.7495478675090325,0.754514260339503,0.7475712112075749,0.7493246038700585,0.7497129081213345,0.002539858699287855
30.64867572784424,2.266716846133517,0.3936744213104248,0.053344761132969654,0.1,0.6000000000000001,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 100}",0.7552709924595524,0.7656066402096542,0.7681548590753781,0.7923067852791279,0.7816648542892204,0.7725971482810289,0.01295753725003083,131,0.7732769358861793,0.7734927234927235,0.7805179339159921,0.7839654748745659,0.7771568862477953,0.7776819908834512,0.0041171579913528815
27.347783470153807,0.5623883791940898,0.3381217956542969,0.004948469307026191,0.1,0.8,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 100}",0.7657615573133277,0.7761670388457154,0.7753874706898088,0.7886370484887392,0.7885876994161087,0.7789055656132866,0.008730533751498036,99,0.7817098110339147,0.7870647720162283,0.7867145711805905,0.7828340373794918,0.7844814208450572,0.7845609224910565,0.002098797482557113
26.464026832580565,0.27034551618710906,0.35520501136779786,0.0282499524795543,0.1,1.0,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 100}",0.7675534158610856,0.7851460402651754,0.7789850074988696,0.7906079543717599,0.7920491219795528,0.7828657361624743,0.008933882971310366,72,0.7847991037416429,0.7904264981934884,0.7909634055265125,0.7850120122847394,0.787731105912924,0.7877864251318615,0.0025956774125242403
26.272269630432127,0.22777231039195117,0.33159990310668946,0.00810734025078948,0.1,1.2,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 100}",0.7736296988352919,0.7876942591308993,0.7809561887934241,0.7900432786999795,0.7916578231381642,0.7847943927582239,0.0066706310918166764,65,0.7907651181381856,0.7935722503683668,0.7938094180812627,0.7844486389940935,0.7885205430659977,0.7902231937295813,0.003481820478151439
26.6392541885376,0.3624032501501613,0.36565279960632324,0.038949181120971815,0.1,1.4000000000000001,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 100}",0.7801861929280851,0.7858653730316559,0.7803040752296365,0.7920141845830003,0.7913508107659588,0.7859427522737504,0.005119479102616933,57,0.7928704171434733,0.7960054901802474,0.7940415396726076,0.7842852479216116,0.7898323625596352,0.791407011495515,0.004084784858328621
32.362646913528444,0.8015499177837425,0.44988174438476564,0.04312297180874635,0.1,1.6,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 100}",0.7811474866917899,0.7916514623232004,0.7819304307441429,0.7946834016796155,0.7890331512221538,0.7876879993708849,0.00533648216958241,50,0.7937598317507206,0.7954958319035988,0.7923934763740589,0.7850067486431123,0.7889053070871253,0.7911122391517231,0.003742051958296408
31.669670820236206,1.22667317569961,0.39881043434143065,0.04112921069724482,0.1,1.8,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 100}",0.780841580879405,0.7939373517030902,0.7804913287228527,0.7926282093274114,0.7931483398185876,0.7882080276713946,0.006174158189994449,45,0.7951709867792286,0.7926982621157378,0.7918151908443171,0.7844621117348389,0.7891787982697074,0.7906650699487658,0.0036454253264320683
26.572500228881836,1.7799194925182118,0.34809284210205077,0.06895856959775053,0.1,2.0,100,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 100}",0.7806236992466524,0.7905270683872455,0.7798317948574691,0.7915337953804027,0.7912665242967757,0.7867553461764889,0.00534699964069284,55,0.7949487559219719,0.7910057929475405,0.7909391841430675,0.7847367756458666,0.789212180121271,0.7901685377559435,0.00330345387043725
27.74404697418213,2.5586653306819733,0.32523446083068847,0.035835628846507026,0.03162277660168379,0.2,100,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 100}",0.7269028038751555,0.736076458787645,0.7292035135564546,0.753835034347828,0.7485062079386499,0.7389018889385242,0.01059469506559176,168,0.7432154643860861,0.7451516864138222,0.7497668691843449,0.7402097765734129,0.7382297473206564,0.7433147087756644,0.004012783253822564
