,train,test
0.1,39.771393,0.004892
0.2,29.288216,0.00747
0.3,21.554695,0.008031
0.4,27.387747,0.017503
0.5,12.459103,0.017539
0.6,7.74935,0.021104
0.7,5.857627,0.025959
0.8,1.607622,0.020546
0.9,0.771029,0.02846
,,
,,
,16.27186467,0.016833778
