,0,1,2,3,4
12,1.0,0.75,0.75,0.75,0.75
25,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
77,0.7525510204081629,0.9244444444444446,0.9244444444444446,0.9244444444444446,0.9244444444444446
128,0.8418581665431184,0.7930388219544846,0.7930388219544846,0.7930388219544846,0.7930388219544846
257,0.903561011181332,0.9499681528662423,0.9499681528662423,0.9499681528662423,0.9499681528662423
515,0.9027380622943763,0.9191185627996762,0.9191185627996762,0.9191185627996762,0.9191185627996762
772,0.907228514323784,0.914949116043208,0.9079779728101877,0.9079779728101877,0.9079779728101877
1030,0.8946144450012529,0.9040454500930553,0.9119980554205154,0.9119980554205154,0.9119980554205154
1287,0.9099025121859767,0.9388387542144809,0.9066704234178685,0.9106955268976419,0.9106955268976419
1545,0.9303433380397857,0.932257664294801,0.911735667454182,0.913160733549083,0.913160733549083
1802,0.9318181524610385,0.9418528349899569,0.9197677497691059,0.9156108344741666,0.9156108344741666
2060,0.9358172839506171,0.9265925925925924,0.9148296296296295,0.9238962962962962,0.9185488424618858
2317,0.9333216404355994,0.933816250009744,0.9262868033956173,0.9146504213340815,0.9287698579867255
2575,0.9346232790198307,0.9347548794771976,0.9333766727695669,0.9330816360826708,0.9377093528525057
