mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3400667667388916,0.028735561948053323,0.03236398696899414,0.007712773389976594,1,{'SVM__n_iter': 1},0.6930140765652375,0.5364021804966688,0.551877649909146,0.8831112457096709,0.7474612344177561,0.6823563683644621,0.12882209955122242,24,0.6754878741947707,0.5415670768075284,0.5484172391702932,0.8708321367823455,0.7507954092621831,0.6774199472434242,0.12481479679176269
0.36095871925354006,0.029115385698354968,0.024384164810180665,0.0023966810316292326,4,{'SVM__n_iter': 4},0.7724641037517369,0.8378457500504745,0.7252776095295781,0.9203412073490813,0.8358467619337185,0.8183354024675819,0.06611989967947368,19,0.7719085512188961,0.8546996841105393,0.7377211778479754,0.8908502507234531,0.8376466604790993,0.8185652648759927,0.05587044017585994
0.3663914680480957,0.007294466520512433,0.020417451858520508,0.0006450707287619811,7,{'SVM__n_iter': 7},0.5605906518718409,0.6880981223500909,0.664607308701797,0.7789319604280235,0.6356846052498227,0.6655592086167815,0.07111807489930658,25,0.5766799292661361,0.7016236276480593,0.6723519406216174,0.7776822991451103,0.651068490317634,0.6758812573997115,0.06556699583953245
0.3976462364196777,0.0037529285050104705,0.01981358528137207,0.0009621997093858843,10,{'SVM__n_iter': 10},0.8146736613166321,0.8476882697355139,0.7902382394508379,0.7631839289319604,0.8548748353096179,0.8141193021122688,0.0344973478580096,20,0.8411235316407731,0.8731736950230842,0.7789127217301023,0.7612295389781086,0.8535479099305412,0.8215974794605219,0.04365427702600085
0.4311487674713135,0.008132720893800308,0.01864004135131836,0.00041086888939455426,13,{'SVM__n_iter': 13},0.7139426465553698,0.8509388249545731,0.8823440339188372,0.9302745810619827,0.9102614776527821,0.8574913442476229,0.07665060997041438,12,0.7131236579512442,0.8771145817225918,0.8874814994808808,0.9106540899953612,0.90759475553224,0.8591937169364636,0.07409271043823293
0.5192860126495361,0.03549987231068905,0.025922393798828124,0.004603360274602797,16,{'SVM__n_iter': 16},0.9068056870129085,0.8793660407833638,0.8993741166969513,0.82361195235211,0.8985659268267964,0.8815473036661607,0.03035529109043141,5,0.9198749526335733,0.9113234222094592,0.9044511696746117,0.8253904437915572,0.8916367586899172,0.8905353493998238,0.03385757868515411
0.5324433326721192,0.012693580404292724,0.021837282180786132,0.0005654466112469895,19,{'SVM__n_iter': 19},0.8836719898503737,0.8304562891177065,0.8993741166969513,0.8284373107207752,0.9129319955406912,0.8709652534270106,0.03514783102440778,7,0.9073465327775674,0.865059974817204,0.9096975855441913,0.8139565707216859,0.9163511932084724,0.8824823714138242,0.03874355882959182
0.5773743629455567,0.02119694115405795,0.021837806701660155,0.0004993667344133575,22,{'SVM__n_iter': 22},0.8133948889381154,0.8907631738340401,0.7940843932969918,0.9166262870987282,0.9107935542718151,0.8651022114552259,0.05122304505807074,11,0.8440318302387269,0.9224524509045926,0.7845545516799576,0.8972409375069031,0.9112007369594496,0.8718961014579261,0.05127986638794031
0.6343817710876465,0.03536181744409443,0.021938180923461913,0.0008062829990483994,25,{'SVM__n_iter': 25},0.8389854401192178,0.7580557238037553,0.8061376943266707,0.941994750656168,0.9220127698388567,0.8534114908639276,0.0693999855519205,13,0.871321207528104,0.7608363339150412,0.8207559256886612,0.9201374008703529,0.9183430266283978,0.8582787789261115,0.06083962937023031
0.6394592761993408,0.00886629439250277,0.022274541854858398,0.0006061098744552859,28,{'SVM__n_iter': 28},0.8014831745776023,0.6170805572380376,0.8648394912174443,0.9268826973551383,0.8598966251140164,0.8140183682772997,0.10617397601147924,21,0.8251405203991411,0.6182928715014689,0.8788088979213148,0.9086748105767745,0.8470569542035945,0.8155948109204587,0.10263425301456257
0.6812895774841309,0.007065550976607606,0.022530031204223634,0.0006370416550009433,31,{'SVM__n_iter': 31},0.8284531888756872,0.883989501312336,0.8016959418534223,0.9360892388451443,0.8862825580216885,0.8672841263502438,0.047298173363069865,10,0.857183908045977,0.9188362897346971,0.817749453268241,0.9192272857805562,0.8685620085045425,0.8763117890668027,0.0387441740666529
0.7124317646026611,0.004708686607255086,0.02188706398010254,0.0008971458285551832,34,{'SVM__n_iter': 34},0.893514509535413,0.8919543710882294,0.8907227942661013,0.9155360387643854,0.9136819702037093,0.9010756735850246,0.011094271979197483,1,0.9156735505873436,0.9255583290993837,0.894749166096004,0.899772471227551,0.9042835452743295,0.9080074124569222,0.011173780821520742
0.7539269924163818,0.008286821985891464,0.022527551651000975,0.0005202874353139801,37,{'SVM__n_iter': 37},0.8599492518678131,0.8535332121946297,0.9093478699777914,0.925600646073087,0.9243083003952568,0.8945278688195643,0.03146028023056453,2,0.8877731463938362,0.8864454704102145,0.9198104663235327,0.9088957122975988,0.9195987202832829,0.9045047031416932,0.014747593563106329
0.7953453063964844,0.007978096056203147,0.022999334335327148,0.0011017694417459654,40,{'SVM__n_iter': 40},0.9131139617777958,0.8793660407833638,0.9179588128407027,0.9155360387643852,0.7927890949630081,0.8837901577969116,0.0475908098353915,3,0.9283140709864848,0.92078243389516,0.9282157768009013,0.9007576929024277,0.8070434231035022,0.8970226795376952,0.0461018510172537
