mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17895746231079102,0.012314103202173837,1.7795971393585206,0.25017392656839943,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7197397273167789,0.7138168634647047,0.6856205903766546,0.7308584555050418,0.7256933981422038,0.7151440783573295,0.015828538139374317,77,0.979229819451618,0.9786226106614456,0.9815120198615346,0.9792802610984429,0.9798383707474615,0.9796966163641005,0.0009859536984845806
0.19127206802368163,0.013872630369566038,1.6675093173980713,0.14723777046227685,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7197397273167789,0.7138168634647047,0.6856205903766546,0.7308584555050418,0.7256933981422038,0.7151440783573295,0.015828538139374317,77,0.979229819451618,0.9786226106614456,0.9815120198615346,0.9792802610984429,0.9798383707474615,0.9796966163641005,0.0009859536984845806
0.1773280143737793,0.004961827408773108,1.7137568950653077,0.09102717070029683,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7483257975339284,0.7616874115019913,0.7430772950992838,0.786306287421227,0.7703704674186941,0.7619497500632942,0.015530004351875536,1,0.8532815180332263,0.849632642351089,0.8577730456371233,0.8533706806434079,0.8545724000269455,0.8537260573383584,0.00261435897626885
0.17712278366088868,0.0075040522910816,1.5724084377288818,0.0519952311507906,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.7361340128916204,0.715338461780209,0.7022446848816157,0.7471410291683589,0.7315965080072144,0.7264896538355964,0.015859996508740468,53,0.9855477357557224,0.9876299376299374,0.9879145388854126,0.9865368592641319,0.9875107693289511,0.9870279681728311,0.0008733553435927546
0.17946462631225585,0.011456772504573979,1.7940451145172118,0.1824188855731296,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.7314574015262172,0.7317901433951459,0.7192210254682211,0.7434123355212877,0.7416990929378419,0.7335143930977176,0.008676740218058008,23,0.7866357282601244,0.7895222332115536,0.7939870415598571,0.7808837627019445,0.7815607542880271,0.7865179040043013,0.004922291618526967
0.18116278648376466,0.012093836961344058,1.6792434692382812,0.19801735462163592,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.7295775187988272,0.7224737364972337,0.7187862830923628,0.7455216808381482,0.7393416921054584,0.7311382558525017,0.010041833860879961,45,0.9846598492584955,0.9873231334396383,0.9869618311365884,0.9862299862299861,0.9869959960869052,0.9864341592303226,0.0009564764428982952
0.1820974349975586,0.01089501657389301,1.6276453971862792,0.013815545910440355,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.7504723673798077,0.7480392944253457,0.7325020558600305,0.7489831034015922,0.7579117918080538,0.7475810172290864,0.00830208674112519,4,0.7923307214294726,0.792999010960176,0.8005934238943947,0.7844051934961027,0.7866276775367684,0.7913912054633829,0.005650559518007516
0.19047274589538574,0.009311385875666135,1.597458267211914,0.023108386968907987,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.7320700846775177,0.7236505090326896,0.716552772311974,0.7490625859787493,0.7418327284796554,0.7326316464604314,0.01178181731180824,31,0.9846598492584955,0.9873231334396383,0.9869618311365884,0.9862299862299861,0.9869959960869052,0.9864341592303226,0.0009564764428982952
0.1769498825073242,0.008650138487635455,1.6738819122314452,0.009039270638049917,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.7323332856898829,0.7295042540152562,0.7184789953086236,0.7389853306606224,0.7488796013643052,0.7336345465310085,0.010093791225917014,22,0.7575638717243324,0.7666643118099428,0.7690723210140686,0.7592621410803229,0.7606864061409516,0.7626498103539238,0.004439885045242492
0.16997160911560058,0.007415882252831847,1.627847671508789,0.01663478456595874,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.7419497094330545,0.7212821233585857,0.7111263494036697,0.7424515571160925,0.7424467532240666,0.7318504131311244,0.013174660014632753,39,0.9846598492584955,0.9873231334396383,0.9869618311365884,0.9862299862299861,0.9869959960869052,0.9864341592303226,0.0009564764428982952
0.18707718849182128,0.00997091594217837,1.7440854549407958,0.15725756555395412,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.7471509797701261,0.7450563331837634,0.7199329379331056,0.7532223197557876,0.7559758233215855,0.7442662602924337,0.01279346070854391,6,0.7690779078514728,0.7712875683749469,0.7736511717094242,0.7678252950980223,0.7658786476968295,0.7695441181461391,0.002702402116502117
