param_SVM__n_iter,train acc,test acc
1,0.8845971777419915,0.8787280817344859
4,0.8861362644038193,0.8873647129102537
7,0.908472913407644,0.9071724119755429
10,0.8605665438386244,0.843348091924942
13,0.8435515681881427,0.8444868314709396
16,0.9009935702084844,0.8977045119122917
19,0.7845109032606986,0.7940726245695411
22,0.901452610227161,0.8794660113149203
25,0.9241915503516209,0.9101603679106052
28,0.7551612213978485,0.7320546946377118
31,0.7721012723466454,0.7845135814182304
34,0.6548150329244584,0.6342702403542063
37,0.6846427384231236,0.6640926980111042
40,0.9248678922005202,0.9102053903998875
43,0.8294665320849381,0.8293208412397217
46,0.9082043154204729,0.902300100147586
49,0.9068653645520934,0.9028513511139223
52,0.7878881695309713,0.7721247100990934
55,0.8906341699453795,0.8803785403050111
58,0.7031331854226823,0.6838520802586268
61,0.9269373084219806,0.910756641366224
64,0.9029066745186137,0.8790070015461381
67,0.9088354197136381,0.8988992550425188
70,0.9283077640166748,0.9153994483097898
73,0.9172665691635777,0.9069418089816572
