mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009412336,0.002235776,0.167882061,0.007425364,manhattan,28,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",0.866343114,0.874974763,0.885322027,0.895073693,0.880247289,0.880387859,0.009663356,55,1,1,1,1,1,1,0
0.00792613,0.00111939,0.163579941,0.001958968,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.81919971,0.832263275,0.835422976,0.839359984,0.826299787,0.830506941,0.007090178,96,0.848613743,0.846696415,0.837977424,0.839430957,0.837121117,0.841967931,0.00474083
0.007983112,0.001345716,0.146380854,0.006227484,manhattan,31,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",0.857880057,0.878225318,0.874793055,0.891136685,0.869083815,0.874220306,0.010920558,61,1,1,1,1,1,1,0
0.008814716,0.001651006,0.184144068,0.01765934,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.821168214,0.834231779,0.830203917,0.834736523,0.827581838,0.829582462,0.004969356,97,0.849747379,0.848642559,0.837484813,0.833839935,0.838917802,0.841726498,0.006328428
0.008240318,0.001382935,0.155081654,0.009091378,manhattan,34,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",0.853943049,0.871633354,0.870856047,0.891136685,0.865719064,0.870653982,0.012037821,64,1,1,1,1,1,1,0
0.010132837,0.002650824,0.193282557,0.015506267,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.813883239,0.813860287,0.824894004,0.815051484,0.813747846,0.816287414,0.004329441,99,0.839058355,0.83036736,0.825958161,0.819209614,0.82575556,0.82806981,0.006547439
0.008176374,0.001722389,0.157189417,0.006915348,manhattan,37,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'distance'}",0.856500594,0.867696346,0.870169594,0.885231173,0.862460728,0.868409836,0.009632761,66,1,1,1,1,1,1,0
0.009101439,0.00178324,0.175623941,0.001400991,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.812604467,0.817797295,0.824894004,0.8229255,0.815029898,0.818649479,0.004640789,98,0.835437982,0.8367956,0.826130465,0.819209614,0.825607071,0.828636146,0.006590218
0.008753586,0.002321153,0.156091976,0.007037092,manhattan,40,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'distance'}",0.853253318,0.863072885,0.866232586,0.885231173,0.85979021,0.865514004,0.010756495,72,1,1,1,1,1,1,0
0.008548021,0.001253243,0.188392258,0.014818838,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.807287996,0.809923279,0.820270543,0.811114476,0.795267052,0.808776402,0.008041581,101,0.826398888,0.823126201,0.820859749,0.806894343,0.816405166,0.81873687,0.006755171
0.008670807,0.00171499,0.158063459,0.005248686,manhattan,43,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'distance'}",0.853842359,0.861104381,0.871451645,0.885231173,0.852579305,0.864842165,0.012204063,73,1,1,1,1,1,1,0
0.009115887,0.001396224,0.193173456,0.014533984,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.811225004,0.811891783,0.8229255,0.817019988,0.792596534,0.811137547,0.010172225,100,0.825585765,0.823791115,0.824628333,0.811648148,0.817561237,0.820642919,0.005303377
0.009027052,0.001722338,0.16515317,0.006010204,manhattan,46,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'distance'}",0.849905351,0.857167373,0.866232586,0.886513224,0.847932502,0.86155082,0.014037473,79,1,1,1,1,1,1,0
0.008730507,0.0017153,0.183865213,0.006688438,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.797445476,0.800080759,0.812396527,0.807773067,0.790620249,0.801665335,0.007676107,102,0.818172919,0.814727518,0.81312598,0.803742075,0.810007528,0.811955204,0.004877814
0.008881617,0.002136181,0.168013811,0.012761389,manhattan,49,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'distance'}",0.849905351,0.855198869,0.867514638,0.880607712,0.843979933,0.859443141,0.013122135,81,1,1,1,1,1,1,0
0.008430195,0.001553936,0.112760925,0.003712733,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.886833679,0.885544115,0.896073087,0.914203513,0.87896017,0.892325358,0.012224898,32,1,1,1,1,1,1,0
0.00869422,0.001714543,0.092029905,0.006621592,euclidean,1,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.886833679,0.885544115,0.896073087,0.914203513,0.87896017,0.892325358,0.012224898,32,1,1,1,1,1,1,0
0.007959986,0.001207317,0.126560163,0.004219446,euclidean,4,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.886244638,0.879911165,0.9051383,0.920199879,0.911862775,0.900663395,0.015269635,12,0.938314703,0.939742429,0.932870176,0.930283417,0.931450098,0.934532164,0.003788605
0.008703756,0.002069718,0.118352175,0.00624851,euclidean,4,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.891158346,0.886139713,0.911457702,0.922491419,0.913413398,0.904925204,0.013898909,6,1,1,1,1,1,1,0
0.008433867,0.001918708,0.144496298,0.006187003,euclidean,7,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.875309624,0.87620634,0.893650313,0.920250353,0.913200568,0.895711672,0.01848854,22,0.918723948,0.923662992,0.918785482,0.912012636,0.910500852,0.916737182,0.004844022
0.008049822,0.001154266,0.127933741,0.004611433,euclidean,7,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.889778883,0.893236422,0.901524329,0.932061377,0.922387757,0.907787627,0.016600197,4,1,1,1,1,1,1,0
0.008405828,0.001395385,0.148777008,0.001381009,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.891848078,0.878174844,0.8808298,0.925560267,0.91282558,0.897841199,0.018464324,19,0.918248705,0.916247322,0.919596192,0.916123617,0.913788733,0.916800914,0.001987365
0.010096073,0.003322301,0.141442442,0.00968003,euclidean,10,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.902868679,0.891863517,0.897587321,0.933343428,0.918541603,0.908836042,0.015132275,1,1,1,1,1,1,1,0
0.00948205,0.002286241,0.154965401,0.007185844,euclidean,13,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.877867169,0.859771855,0.87808399,0.901251767,0.907378129,0.884861417,0.017316314,47,0.898449539,0.907086527,0.90009057,0.896986901,0.903852896,0.901293286,0.00369301
0.00820241,0.001391963,0.131841564,0.001574923,euclidean,13,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.894304932,0.885958005,0.890490612,0.928810822,0.917259552,0.903357656,0.016680612,9,1,1,1,1,1,1,0
0.00801568,0.001118633,0.145812321,0.002926785,euclidean,16,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.881315827,0.857803352,0.885271553,0.909812235,0.903744806,0.887582589,0.018365435,39,0.902289377,0.907996642,0.900656078,0.898882237,0.899048283,0.901774524,0.00334749
0.008412266,0.001726278,0.133421898,0.002389509,euclidean,16,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.884462412,0.885271553,0.905461337,0.926155865,0.919823655,0.904223982,0.017180402,8,1,1,1,1,1,1,0
0.008598804,0.001350641,0.161310387,0.015767445,euclidean,19,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.864087641,0.850524934,0.870209974,0.899283263,0.900861457,0.876982033,0.019894968,59,0.892835039,0.899721664,0.887799598,0.885484548,0.884019367,0.889972043,0.005719149
0.008600569,0.001341791,0.139853621,0.006004837,euclidean,19,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",0.883772681,0.885271553,0.893741167,0.92290531,0.911330698,0.899395723,0.0153026,17,1,1,1,1,1,1,0
0.009906197,0.001423963,0.195417213,0.056649061,euclidean,22,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.858383511,0.849929336,0.878770442,0.899283263,0.900167224,0.877293779,0.020567286,58,0.891155109,0.894400141,0.890163246,0.887355586,0.881777215,0.888970259,0.004243288
0.009493732,0.002491918,0.138401985,0.004829718,euclidean,22,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",0.874619892,0.880648092,0.905461337,0.92478296,0.915871085,0.900263862,0.019569465,15,1,1,1,1,1,1,0
0.008574677,0.001660044,0.160531187,0.005214131,euclidean,25,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.845193024,0.84205532,0.870209974,0.892691298,0.883662714,0.866750519,0.020227556,68,0.883374384,0.887947602,0.883045793,0.877183061,0.876145352,0.881539238,0.004353731
0.008635187,0.001963874,0.147344589,0.008382935,euclidean,25,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 25, 'KNN__weights': 'distance'}",0.870682885,0.8845851,0.899555825,0.922814456,0.911812101,0.8978773,0.018632893,18,1,1,1,1,1,1,0
0.008253813,0.001348432,0.177412558,0.023373029,euclidean,28,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.852477999,0.842741773,0.876115486,0.903220271,0.884463363,0.871793845,0.02183698,63,0.882976506,0.886394663,0.88082794,0.873339371,0.876809296,0.880069555,0.004581641
0.009789801,0.001890061,0.172331905,0.015393076,euclidean,28,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",0.871271925,0.871492025,0.906056935,0.927437916,0.91053005,0.897345578,0.022379876,20,1,1,1,1,1,1,0
0.008320189,0.001146799,0.177834082,0.024057658,euclidean,31,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.843813561,0.837522714,0.871492025,0.897314759,0.882968481,0.866610148,0.022805068,70,0.877682519,0.880631337,0.872897568,0.869990501,0.872505322,0.874741449,0.003855187
0.008436489,0.00127853,0.153262234,0.017484831,euclidean,31,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",0.862808869,0.873460529,0.898273773,0.927437916,0.907859532,0.893954133,0.023342684,26,1,1,1,1,1,1,0
0.008952093,0.001186758,0.211757994,0.04626263,euclidean,34,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.841256016,0.844114678,0.870209974,0.896628306,0.881098612,0.866649144,0.021323728,69,0.875438929,0.884128211,0.875532925,0.870876317,0.87385654,0.875966585,0.004414561
0.009892559,0.003573418,0.168143463,0.020924584,euclidean,34,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",0.869303421,0.875429033,0.89630527,0.926751464,0.908553765,0.895256401,0.021153307,23,1,1,1,1,1,1,0
0.009320593,0.001924611,0.209147358,0.052467583,euclidean,37,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.839876553,0.845992328,0.867555017,0.890036342,0.877840276,0.864248313,0.018913473,75,0.873100606,0.873069871,0.869597296,0.86361086,0.870661977,0.870008122,0.003477328
0.008323622,0.001489191,0.147684479,0.001750015,euclidean,37,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 37, 'KNN__weights': 'distance'}",0.86339791,0.877397537,0.896900868,0.924096507,0.905295429,0.893404639,0.021229296,27,1,1,1,1,1,1,0
0.007804155,0.001316046,0.161660433,0.004963732,euclidean,40,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.845782065,0.847274379,0.867555017,0.892004846,0.875169758,0.865548086,0.017445064,71,0.875290514,0.875581524,0.8743754,0.86410347,0.87149774,0.87216973,0.00428394
0.011145496,0.003209722,0.173675394,0.0216972,euclidean,40,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 40, 'KNN__weights': 'distance'}",0.866645186,0.87474258,0.89296386,0.924096507,0.905295429,0.892736709,0.020719934,29,1,1,1,1,1,1,0
0.008433867,0.001266907,0.174872303,0.013984527,euclidean,43,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.845782065,0.842650919,0.865495659,0.887381385,0.880297963,0.864310879,0.01789886,74,0.871153846,0.869128985,0.868119464,0.858808456,0.865248591,0.866491868,0.004287611
0.008673429,0.001146438,0.154973745,0.00487358,euclidean,43,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 43, 'KNN__weights': 'distance'}",0.871271925,0.87474258,0.894245912,0.922128003,0.909141583,0.89429424,0.019534274,25,1,1,1,1,1,1,0
0.008993721,0.001369069,0.170757198,0.005099045,euclidean,46,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.849130032,0.841368867,0.859681001,0.886099334,0.875169758,0.862281712,0.01643453,76,0.869254452,0.873266474,0.869128985,0.860482891,0.866427991,0.867712159,0.004222508
0.009814262,0.002870087,0.16269989,0.010401693,euclidean,46,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 46, 'KNN__weights': 'distance'}",0.871271925,0.872774076,0.890995356,0.920159499,0.907859532,0.892600715,0.019200276,30,1,1,1,1,1,1,0
0.010384512,0.002055601,0.180935192,0.015538018,euclidean,49,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.847161528,0.839400363,0.858994549,0.880193822,0.880297963,0.861199354,0.016747561,80,0.864304661,0.87026221,0.864671188,0.858143542,0.865076773,0.864491675,0.003847269
0.008969784,0.001082701,0.159946346,0.012227875,euclidean,49,distance,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 49, 'KNN__weights': 'distance'}",0.873240429,0.871492025,0.894932364,0.918190995,0.909141583,0.89338833,0.018715514,28,1,1,1,1,1,1,0
0.00904541,0.000853037,0.079049683,0.006555686,chebyshev,1,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.890080955,0.856289118,0.874601252,0.899000606,0.895358265,0.8830644,0.015765254,50,1,1,1,1,1,1,0
0.009744644,0.002150567,0.06300025,0.003131156,chebyshev,1,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.890080955,0.856289118,0.874601252,0.899000606,0.895358265,0.8830644,0.015765254,50,1,1,1,1,1,1,0
