param_MLP__max_iter,train acc,test acc
1,0.7903950167601103,0.799864054044557
2,0.8684982625951251,0.8735790463138661
4,0.9259121930965066,0.9144792325532364
8,0.9446451860980143,0.9267044855576642
16,0.9576160454378932,0.9288172482254552
32,0.9789920022424902,0.9436153717759505
64,0.9906814674255264,0.9411786668072247
128,0.9944838455476752,0.9369970658514303
256,0.9944838455476752,0.9369970658514303
512,0.9944838455476752,0.9369970658514303
1024,0.9944838455476752,0.9369970658514303
2048,0.9944838455476752,0.9369970658514303
2100,0.9944838455476752,0.9369970658514303
2200,0.9944838455476752,0.9369970658514303
2300,0.9944838455476752,0.9369970658514303
2400,0.9944838455476752,0.9369970658514303
2500,0.9944838455476752,0.9369970658514303
2600,0.9944838455476752,0.9369970658514303
2700,0.9944838455476752,0.9369970658514303
2800,0.9944838455476752,0.9369970658514303
2900,0.9944838455476752,0.9369970658514303
3000,0.9944838455476752,0.9369970658514303
