mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.710478401184082,0.05620783634441758,0.01958041191101074,0.00266588701317547,0.1,0.2,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 389}",0.7877942686831665,0.7508782556026652,0.7406218453462549,0.7942358166767618,0.7717441978311543,0.7690598613220538,0.020648669481934268,70,0.7894072881141847,0.7732598466942058,0.7767324217455653,0.7740241666482581,0.7745545960342402,0.777595663847291,0.006017684784362263
5.259962701797486,0.03897696178666993,0.017584848403930663,0.0005814944079356793,0.1,0.4,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 389}",0.8728527700022152,0.8617403593781546,0.8852715525943872,0.9137492428831012,0.8989915881220228,0.8865129849505974,0.018435850114850615,63,0.8861516357206013,0.8947425390443791,0.8911219598400671,0.8853100355651772,0.8882215115487246,0.8891095363437899,0.0034570084770854242
5.030026483535766,0.013562295233346981,0.01776280403137207,0.00048523663813199446,0.1,0.6000000000000001,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 389}",0.876689087137765,0.8623359580052493,0.8955279628507975,0.919563900666263,0.9062024931590149,0.8920547147097742,0.02043693334309098,59,0.8932976506252368,0.8985619297974331,0.8949656497824118,0.890015242218737,0.8916663934384884,0.8937013731724616,0.0029364979779270294
4.984163379669189,0.07620312882181668,0.018480491638183594,0.0013875276050492257,0.1,0.8,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 389}",0.8838733713273055,0.8702099737532808,0.9008378760347264,0.9222188572582274,0.9075909597648727,0.8969388419169876,0.018182282874727333,48,0.9013515220411772,0.9013695906691115,0.8991031390134531,0.8932669155492722,0.8949861158050311,0.898015456615609,0.00332530145329522
4.930261087417603,0.008278571069491486,0.018062496185302736,0.0006945940347947033,0.1,1.0,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 389}",0.8865316068228044,0.8669594185342216,0.9028063799717344,0.9312840702604483,0.9075909597648727,0.8990279468990952,0.021506914655964434,44,0.9061292156119742,0.9026508206498929,0.8998917581567962,0.8957056705471736,0.8972982567201522,0.9003351443371977,0.0037359048167324403
4.967193984985352,0.051631314203370575,0.017496919631958006,0.00022870502000054774,0.1,1.2,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 389}",0.8866322975612703,0.8630224106602059,0.8969917221885726,0.928033515041389,0.9070031417857505,0.8963302910982996,0.02155401021971836,51,0.9051676771504357,0.9069120148445956,0.8972806998166517,0.8965185888798074,0.8989464531619646,0.900965086770691,0.004253202364880468
5.057985925674439,0.11512193933370797,28.622018384933472,57.20890472028721,0.1,1.4000000000000001,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 389}",0.8853535251827537,0.8643953159701192,0.8957096709065213,0.9274379164142945,0.9089794263707307,0.89636783373249,0.021299454320107672,50,0.902924087406846,0.9033886323974463,0.896344076520356,0.8950893547460734,0.8994152496632989,0.8994322801468041,0.0033539151385963964
316.1709471702576,618.1052287942753,0.025074338912963866,0.013746799786726615,0.1,1.6,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 389}",0.8839740620657711,0.869705229154048,0.8957096709065213,0.9254694124772868,0.9109557109557108,0.8971544377178022,0.019603344761208674,46,0.9024077933560694,0.9046190549824383,0.89599946983587,0.8915416731096336,0.8997822161243297,0.8988700414816682,0.004654977372780202
6.865470838546753,1.9551111227704292,0.024985837936401366,0.013153057850002928,0.1,1.8,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 389}",0.885942566002779,0.8697052291540481,0.8944276196244699,0.9215324046032708,0.9082851930678016,0.8959716637864166,0.01787617231134061,53,0.9012504736642667,0.9054562725043629,0.8981422165278667,0.8900638405973181,0.9031571095653402,0.8996139825718309,0.005342948823730906
174.54185004234313,337.2063785105266,0.023649883270263673,0.006712650045830165,0.1,2.0,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 389}",0.8879110699397869,0.8691096305269534,0.8931455683424186,0.9235009085402788,0.903744805918719,0.8954774793443211,0.017953249571647734,55,0.8996479095617026,0.904199341712872,0.8965406790518898,0.8888820163909077,0.9036259060666745,0.8985791705568094,0.0055926436096616254
5.725549030303955,0.2511159055421672,0.018123579025268555,0.000861283035334647,0.03162277660168379,0.2,389,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 389}",0.8593048311416315,0.8297698364627498,0.8272057338986474,0.8661215424994952,0.8455153542110063,0.8455877420889578,0.015480292364092565,68,0.8938707843880258,0.845574234023283,0.8488016081645278,0.8491970222448033,0.847506204381403,0.8569899706404087,0.018483693420885586
