,0,1,2,3,4
77,0.9897959183673467,1.0,1.0,1.0,1.0
128,0.9701013096120584,1.0,1.0,1.0,1.0
257,0.9499270782693243,0.9918152866242039,0.9918152866242039,0.9918152866242039,0.9918152866242039
515,0.9309949881622237,0.9596799302571767,0.9596799302571767,0.9596799302571767,0.9596799302571767
772,0.9285198756384632,0.9350456739953458,0.9302185510239201,0.9302185510239201,0.9302185510239201
1030,0.9282291405662743,0.9350083259868744,0.9254156538648518,0.9254156538648518,0.9254156538648518
1287,0.9309598800149981,0.9397929526877633,0.930163595564675,0.9252498674376958,0.9252498674376958
1545,0.9254557337173052,0.9411425495924957,0.9257641578012944,0.925026968716289,0.925026968716289
1802,0.9287109337156808,0.936902339940452,0.9279313841364566,0.9278651169295393,0.9278651169295393
2060,0.9343901234567901,0.939511111111111,0.9358765432098765,0.9277382716049382,0.9291223571114874
2317,0.9339830686840811,0.938544468090082,0.9345985048681431,0.9304167348752368,0.9291497770413433
2575,0.9350037893141342,0.9381307435808988,0.9332250479197703,0.9311304137968507,0.931450721292046
