,train,test
0.1,2.320342,0.000735
0.2,1.999755,0.001251
0.3,1.687941,0.001701
0.4,1.449447,0.002207
0.5,1.232033,0.003609
0.6,1.043572,0.005393
0.7,0.891415,0.006035
0.8,0.164399,0.006792
0.9,0.072514,0.008367
,,
,1.206824222,0.00401
