param_SVM__n_iter,train acc,test acc
1,0.7246563757455702,0.7297632985395744
4,0.7685425748000221,0.7686224218280789
7,0.7595848395568224,0.7534262222796628
10,0.7724315223457366,0.7695458312109902
13,0.7728199143275163,0.7609178406075857
16,0.8055354446438777,0.7952348958848081
19,0.6162787774576791,0.6115781111018194
22,0.6538482648472995,0.6568191839558452
25,0.8038892827275759,0.7994657396778092
28,0.8031260107828004,0.7977659327793701
31,0.8064945884888494,0.7973265126922462
34,0.6895126623327651,0.698003698579107
37,0.7960548256970527,0.7855154823357687
40,0.7719582874553161,0.763659844758509
43,0.8115896670135799,0.7985620015660992
46,0.809443350913622,0.8029624744368505
49,0.7971179806633584,0.7858899017006622
52,0.7971591451856992,0.7947450147106897
55,0.7810776432022605,0.7745402434296054
58,0.8088492410644705,0.798916084447722
61,0.8036596831525865,0.8000567330865079
64,0.7891733325959333,0.7893145084652987
67,0.8025061338280618,0.7993643423523419
70,0.7883176761506374,0.778293274896037
73,0.7966770070270878,0.7960283988535546
