param_MLP__max_iter,train acc,test acc
1,0.7907890277924192,0.799864054044557
2,0.868104251562816,0.8735790463138661
4,0.9265624829601841,0.9144792325532364
8,0.9447829182989546,0.9276236032047227
16,0.9572220344055844,0.9282198766603416
32,0.9798985709375361,0.9463266041183498
64,0.99304553361938,0.937870062899712
128,0.9942275667163067,0.9387891805467707
256,0.9954095998132334,0.9380084246960433
512,0.9954095998132334,0.9380084246960433
1024,0.9954095998132334,0.9380084246960433
2048,0.9954095998132334,0.9380084246960433
2100,0.9954095998132334,0.9380084246960433
2200,0.9954095998132334,0.9380084246960433
2300,0.9954095998132334,0.9380084246960433
2400,0.9954095998132334,0.9380084246960433
2500,0.9954095998132334,0.9380084246960433
2600,0.9954095998132334,0.9380084246960433
2700,0.9954095998132334,0.9380084246960433
2800,0.9954095998132334,0.9380084246960433
2900,0.9954095998132334,0.9380084246960433
3000,0.9954095998132334,0.9380084246960433
