,0,1,2,3,4
12,1.0,0.75,0.75,0.75,0.75
25,1.0,1.0,1.0,1.0,1.0
77,0.9821428571428571,1.0,1.0,1.0,1.0
128,0.9666419570051892,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156
257,0.9563684978123481,0.9554458598726115,0.9554458598726115,0.9554458598726115,0.9554458598726115
515,0.949082187990038,0.9919826888349212,0.9919826888349212,0.9919826888349212,0.9919826888349212
772,0.9547107483899622,0.9770692230210831,0.9700739975907761,0.9700739975907761,0.9700739975907761
1030,0.9412193059383615,0.9854833970026448,0.9608945065629559,0.9608945065629559,0.9608945065629559
1287,0.9528233970753656,0.9797317239102378,0.9733405436002143,0.9700171580642902,0.9700171580642902
1545,0.9421840269525953,0.9635613982357791,0.9638173989627163,0.9368932038834951,0.9368932038834951
1802,0.9447817971621036,0.9484515574845157,0.9524442463815852,0.9489069169785513,0.9489069169785513
2060,0.9402666666666665,0.9600740740740739,0.9673679012345678,0.9634913580246913,0.9535337850555241
2317,0.9595281526001107,0.9558928306946358,0.9770663299112119,0.9714120343303476,0.970340179677529
2575,0.960673234811166,0.9541290605450661,0.9598481603483329,0.957037098810124,0.9637676627155757
