param_Boost__n_estimators,train acc,test acc
1,0.8308876779764593,0.8207764512615081
2,0.8308876779764593,0.8207764512615081
5,0.9169266816354505,0.9183852080258628
10,0.9577695300019912,0.9462804835195727
20,0.9644485319807303,0.9442127433410641
30,0.9644485319807303,0.9442127433410641
40,0.9644485319807303,0.9442127433410641
50,0.9644485319807303,0.9442127433410641
