mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.007762432098388672,0.0012925377437503355,0.001243734359741211,9.7514842702725e-05,1,{'SVM__n_iter': 1},0.9057282961113237,0.8865939834443772,0.8936906925095902,0.874369069250959,0.9014999493260364,0.892377711279633,0.011145290561414493,25,0.9039503599848426,0.9049062272195101,0.9018798736442156,0.8843137688042589,0.8955460233950577,0.898119250609577,0.007634395848176263
0.008847188949584962,0.001349408208070714,0.0013557910919189454,0.00024935490578725285,4,{'SVM__n_iter': 4},0.9069063777513744,0.8879265091863517,0.8807793256612154,0.8916313345447205,0.9232948211209079,0.8981025840742278,0.015210623365265246,24,0.9088654161930022,0.8966157856369702,0.9038481079767612,0.8903024144558085,0.9164826579973467,0.9032228764519777,0.00915033292347052
0.009462928771972657,0.00128025767514277,0.0012325286865234376,0.0002008924964121039,7,{'SVM__n_iter': 7},0.895110457740097,0.902846759539673,0.8917221885725823,0.9006965475469413,0.9178980439850005,0.9016477225867208,0.009025782349340643,23,0.9143425539977263,0.9297377896573814,0.9055225430206101,0.9095429543396143,0.9162704858081083,0.9150832653646882,0.008231836805363267
0.010063982009887696,0.0021725597365189944,0.0011737823486328125,0.00019955805409751565,10,{'SVM__n_iter': 10},0.9159584751394566,0.8853119321623258,0.9227639814253986,0.9306379971734304,0.9252711057058882,0.915985806200006,0.01604743322933426,21,0.9209849058986991,0.9121252954560517,0.9208730036006981,0.918409949413506,0.9150932927106084,0.9174972894159126,0.003435968059323862
0.016173791885375977,0.0028952351427118162,0.001431417465209961,0.00033083281621326823,13,{'SVM__n_iter': 13},0.8940179632277423,0.8894811225519887,0.9106803957197659,0.9205229154048051,0.9300243235025841,0.908934161981913,0.01537993491624201,22,0.9218153972464318,0.9276502683955908,0.9249663124875742,0.9119132298040603,0.9275279071057821,0.9227746230078878,0.005831965480468554
0.01563372611999512,0.0032267042588089508,0.0013664722442626952,0.00016241955579194338,16,{'SVM__n_iter': 16},0.9104557262822967,0.9142943670502726,0.9129214617403594,0.9331112457096711,0.9316813621161447,0.9204862407673783,0.00980672738632527,19,0.9355611342680309,0.9339548035079194,0.9282157768009013,0.921244118491683,0.924201879473586,0.9286355425084242,0.0054904476857983876
0.013325023651123046,0.0009275200700795035,0.0022697925567626955,0.0020909784228980346,19,{'SVM__n_iter': 19},0.9153694343194313,0.9071068039571978,0.9251463759337775,0.9213002220876236,0.9331762440458091,0.9204142860036355,0.008813300827158648,20,0.929679802955665,0.9334644016876893,0.9292032074929865,0.9203362124190948,0.9269891221556947,0.9279345493422262,0.004332741100130263
0.014556407928466797,0.0014767608451608737,0.0011641025543212891,0.00016151260810726826,22,{'SVM__n_iter': 22},0.9218639869504802,0.9077024025842922,0.9230870179689078,0.9201090248334344,0.9311999594608289,0.920789578989244,0.007568083599352276,18,0.9277030440823544,0.9323797742384413,0.9243256974971835,0.9267136450992953,0.9224114992912882,0.9267067320417126,0.0033850980228382404
0.014894390106201172,0.0017619521597472803,0.0012840747833251954,0.0005803852104146469,25,{'SVM__n_iter': 25},0.9169502789133456,0.9103573591762568,0.9230870179689078,0.9324247930547144,0.938410864497821,0.9242393979440773,0.010146645228915806,6,0.9342317165593027,0.9377498950716827,0.9324305816342309,0.9246703041816695,0.9315752571287332,0.9321315509151239,0.004290584383502038
0.017042016983032225,0.0016237259415248207,0.001897144317626953,0.001260440991574431,28,{'SVM__n_iter': 28},0.9108433856253901,0.9102665051483948,0.9239551786795882,0.9369573995558249,0.9337640620249315,0.9231501879843415,0.011148527655886292,11,0.9311813186813188,0.9399920475380503,0.933093286796704,0.9301376217720737,0.9309664837298925,0.933074151703608,0.0035918223259084866
0.0169769287109375,0.0013979282946618326,0.0013079166412353516,0.00028480511487019404,31,{'SVM__n_iter': 31},0.9088748816883825,0.8977690288713911,0.9369573995558249,0.9252372299616394,0.9355275159622987,0.9208649339922942,0.015298021519575518,17,0.9345111784766957,0.9284145883496433,0.9294241092138108,0.9209746183922773,0.9279437393756274,0.9282536467616109,0.00432742150250032
0.01878819465637207,0.001714477365967123,0.0013113975524902343,0.0002168293753358142,34,{'SVM__n_iter': 34},0.9135016211208893,0.9050474459923279,0.9324247930547144,0.9272965879265093,0.9414563697172391,0.9239366819633931,0.013081763320605315,8,0.932925982063913,0.9343502175881949,0.9329452826437519,0.930186220150655,0.9315837692373655,0.932398294336776,0.0014102750275915457
0.02517561912536621,0.002924286023979261,0.001560544967651367,0.0005058748668787137,37,{'SVM__n_iter': 37},0.9116338079223473,0.9142035130224107,0.9237734706238644,0.9376438522107813,0.9426320056754839,0.925967703121489,0.012349823012620276,4,0.9313534166982441,0.9348428284256335,0.9344982217411475,0.9302613267357354,0.9335289436914556,0.9328969474584431,0.0017932615596790737
0.03072223663330078,0.0036267428918313597,0.0014882087707519531,0.00010550392543087402,40,{'SVM__n_iter': 40},0.9121221580039067,0.913607914395316,0.9265192812436908,0.9325156470825763,0.9441268876051483,0.9257684383091085,0.011974860168509903,5,0.9358642793987623,0.9379707967925072,0.933117585985995,0.9309262409154168,0.9280370573072985,0.933183192079996,0.0035125553066604033
