param_SVM__n_iter,train acc,test acc
1,0.8993448228646761,0.89256206514864
6,0.8990830912922148,0.8861732641085108
11,0.8974426240367328,0.8853002670602291
16,0.9067035998996693,0.8871385023543468
21,0.9046828544412978,0.8899408777848056
26,0.915551379159785,0.9123675679949398
31,0.9144687071227742,0.8976616856419989
36,0.8788808874962183,0.878960880947361
41,0.8385102061176523,0.8408158514301777
46,0.9145557490268875,0.9053352747909201
51,0.9118586617196167,0.9015204424063532
56,0.8642798605229217,0.8437137623866751
61,0.9079712612270928,0.8919196710942441
66,0.8788926007918993,0.8579562425328556
71,0.8858230347210355,0.8764791534893528
76,0.9170609806290362,0.8997744483097898
81,0.9074881887569323,0.8886099690772368
86,0.897724954853323,0.8862644071965705
91,0.895113495776549,0.8834631298756063
96,0.8998396086305176,0.8887911571438613
101,0.8787391162278017,0.8701331787195165
106,0.9068570844637671,0.8862666034155597
111,0.9156925445680801,0.8964669425117718
116,0.8904182817887737,0.8822200699276127
121,0.9033596559360759,0.8887461346545787
126,0.9068447653079645,0.8915496081945324
131,0.8969698511886369,0.8826779815869
136,0.8642675413671193,0.8498247417246467
141,0.9085845936233624,0.8906755130367561
146,0.8980058719962969,0.8802928877644248
151,0.9222982374721251,0.9063005130367561
156,0.8664314717675241,0.861133073301005
161,0.9058875063160916,0.8933867453791554
166,0.9086510362833468,0.8947220465247032
171,0.8855229320075496,0.8807958219129947
176,0.8957672188475813,0.877349954318645
181,0.9034905217223067,0.882910780799775
186,0.9031540674015345,0.8914584651064728
191,0.913786912532782,0.8956850885515497
196,0.8850822697458899,0.8842922025441001
