param_SVM__n_iter,train acc,test acc
1,0.7514004317142373,0.7395403954780785
6,0.7437452969795088,0.7413021621292868
11,0.7410933799906484,0.7415096132647089
16,0.7602823320613182,0.7558486395462874
21,0.7463431658932346,0.7390068003679574
26,0.7442674474728127,0.741136144202772
31,0.7674945030174747,0.764209880109779
36,0.7071494081526284,0.7032446193846598
41,0.6843351500190216,0.6929532184860534
46,0.7411472185771194,0.7384945870743592
51,0.7452654514648285,0.7380305541406601
56,0.7595123564793167,0.7687668678774794
61,0.7317523852379204,0.7426981571725066
66,0.7515569197457311,0.7555333290252932
71,0.7634963071338432,0.7620965963949308
76,0.7591188320252861,0.7630003345066407
81,0.762356269828102,0.7642259402297453
86,0.7398297443735536,0.7375084576963136
91,0.7334648503161604,0.7303801401886921
96,0.7940163962587001,0.7882906520598768
101,0.7469120323584569,0.7490477964375043
106,0.732892632032325,0.7384541991987046
111,0.7917931978193067,0.783258512813885
116,0.779799867100392,0.7714278111862062
121,0.7807387952893542,0.7748861537058016
126,0.7754705743843967,0.776100640884314
131,0.7196458258964857,0.7170924340679808
136,0.7501145902988313,0.7384338627154337
141,0.7608546550894851,0.7614498202026806
146,0.7636870465617883,0.7606980355337282
151,0.686217824636202,0.6853963143450132
156,0.7339908763497354,0.7313196096915698
161,0.7223584945977063,0.7324963698427059
166,0.743723929135851,0.7438463132046497
171,0.7320163409536931,0.7369109071972145
176,0.7634593323847687,0.7719137961182024
181,0.7307913559949789,0.7336225738765518
186,0.7328984977148976,0.7276916380942244
191,0.7559376419285696,0.7538423599443503
196,0.7745774194683681,0.7718225670343707
