mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0405522346496582,0.005415029417852553,0.0011884212493896485,0.00011496459829307173,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9038604829127818,0.8699777912376339,0.8773470623864325,0.917040177670099,0.8898043985000508,0.8916103477850059,0.01715599184930534,18,0.9798440065681445,0.9764253683536196,0.9801696525215933,0.9798250458371071,0.9797591514625694,0.9792046449486067,0.0013969091612829878
0.029939937591552734,0.0009247802810270647,0.0010562419891357421,7.064618891556363e-05,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9047515959482045,0.873319200484555,0.9039471027660005,0.9090753078942057,0.9047076112293503,0.899160177324314,0.013046220137410433,9,0.98272862195276,0.9787404183878594,0.9797256400627361,0.9822881000242992,0.9847355823795568,0.9816436725614424,0.0021568514887436033
0.09061956405639648,0.00538956040115333,0.0009926319122314452,0.0002124459435839769,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9031707513542903,0.8834847567131031,0.8861397133050677,0.9202907328891582,0.8847319347319347,0.8955693041392769,0.014291538998321654,15,0.9710243779209297,0.9588128741522897,0.9650224215246639,0.9716715633214784,0.9543489308791557,0.9641760335597034,0.0067695581157145275
0.08596940040588379,0.011110430976055942,0.0011791706085205079,0.00021969680990339486,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8925529129830638,0.8677367252170403,0.9028972339995963,0.9199273167777106,0.9087665957231175,0.8983711216349068,0.017694200631010296,12,0.9650356827080964,0.9496785879962006,0.9557357131812059,0.9602200181139413,0.977001543529032,0.9615343091056952,0.009245584420064224
0.09471297264099121,0.006077041239283065,0.0009185314178466797,3.609521855745226e-05,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9031707513542903,0.8834847567131031,0.8861397133050677,0.9202907328891582,0.8847319347319347,0.8955693041392769,0.014291538998321654,15,0.9710243779209297,0.9588128741522897,0.9650224215246639,0.9716715633214784,0.9543489308791557,0.9641760335597034,0.0067695581157145275
0.07184019088745117,0.0027426581848481652,0.0009013652801513672,1.331614187860579e-05,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8925529129830638,0.8677367252170403,0.9028972339995963,0.9199273167777106,0.9087665957231175,0.8983711216349068,0.017694200631010296,12,0.9650356827080964,0.9496785879962006,0.9557357131812059,0.9602200181139413,0.977001543529032,0.9615343091056952,0.009245584420064224
0.08912653923034668,0.004836982077960648,0.0008962631225585937,1.4589502819816283e-05,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9095646132468735,0.8749242883101153,0.8773470623864325,0.9163537250151422,0.9032127292996859,0.8962824562864162,0.01698363945744976,14,0.9725558923834786,0.9407099781307298,0.9801696525215933,0.9765004749387,0.9663551024731775,0.9672582200895358,0.014041470481475788
0.07174086570739746,0.0013706805913254274,0.000903177261352539,3.8147389886481714e-05,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9047515959482045,0.8738239450837877,0.9039471027660005,0.9159903089036948,0.9047076112293503,0.9006441264460583,0.014135917863820782,4,0.98272862195276,0.9589387881331595,0.9797256400627361,0.9615255472840135,0.9847355823795568,0.9735308359624453,0.01100523532997846
0.08957319259643555,0.005565035672367048,0.0008886337280273437,8.939138912544623e-06,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9058289868497894,0.8725418938017364,0.8849485160508783,0.9196042802342016,0.8794973142799231,0.892492375781371,0.017531330225069,17,0.978217759252242,0.9621131458614062,0.9655879299299742,0.967902979964214,0.9507322305003354,0.9649108091016345,0.008892080883086202
0.07187404632568359,0.0016076563664435878,0.0009174346923828125,7.473469860573592e-05,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.9041625551281792,0.8650817686250758,0.9009287300625883,0.9159903089036948,0.9119185162663423,0.8996139671135928,0.018079128949666737,5,0.9802355690286725,0.9445801762795734,0.9584461772957213,0.9615255472840135,0.9816809964337417,0.9652936932643446,0.014013854155587497
0.09037208557128906,0.006093284876352353,0.0009079456329345703,5.020169139195197e-06,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.9038604829127818,0.8699777912376339,0.8773470623864325,0.917040177670099,0.8898043985000508,0.8916103477850059,0.01715599184930534,18,0.9798440065681445,0.9764253683536196,0.9801696525215933,0.9798250458371071,0.9797591514625694,0.9792046449486067,0.0013969091612829878
