mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.018251371383666993,0.001207355087585836,0.0016973495483398437,0.0003630538795781872,1,{'MLP__max_iter': 1},0.7485349497553215,0.7596103371693923,0.7667979002624673,0.7758631132646882,0.782446538968278,0.7666400363345844,0.011935388248694629,22,0.7682108121763294,0.7709801409352979,0.7717179526828514,0.759033775873114,0.7791350562681907,0.7698155475871566,0.006490769475232054
0.03012371063232422,0.00039148978275606886,0.001462841033935547,5.01859725949912e-05,2,{'MLP__max_iter': 2},0.8289566425680165,0.8125277609529576,0.8431556632344035,0.861376943266707,0.8504408634843418,0.8392849025829884,0.017029894208593292,21,0.8480785019578123,0.8465682917669929,0.8380945017561687,0.8386114117828978,0.8380798322294915,0.8418865078986725,0.004468920125058664
0.055767488479614255,0.0009781078246120709,0.0014045238494873047,3.817586996374129e-05,4,{'MLP__max_iter': 4},0.897063858066335,0.8793660407833638,0.8968100141328488,0.9236826165960026,0.9314685314685314,0.9056675275282354,0.01914974347095122,20,0.9189907793356069,0.9164461331153769,0.9040557555943362,0.9126532505688221,0.9087041670239652,0.9121700171276215,0.005345929980253819
0.1070784568786621,0.0010070738309066803,0.0014142513275146485,4.65074903358142e-05,8,{'MLP__max_iter': 8},0.9068056870129084,0.904956591964466,0.9217141126589946,0.9447405612759945,0.94706597750076,0.925044082886821,0.017999520279842043,19,0.9361674245294934,0.9426539132739845,0.9377764032781816,0.9358545583070093,0.9376929411289955,0.9380290481035327,0.0024396812643282272
0.21039423942565919,0.002839743004881292,0.0014527797698974609,7.705422906737184e-05,16,{'MLP__max_iter': 16},0.9344654328694846,0.9129214617403596,0.9359983848172824,0.955865132243085,0.947760210803689,0.9373979956817572,0.014545905305522426,2,0.9630652393583427,0.9691091033599153,0.9599460999801189,0.9579513574410746,0.961987444955031,0.9624118490188964,0.0037798454172480274
0.41406641006469724,0.0030765153593720713,0.0014297962188720703,5.687470082288909e-05,32,{'MLP__max_iter': 32},0.9205852145719636,0.9201090248334344,0.9425903492832629,0.9545830809610337,0.9492550927333536,0.9374156487877396,0.01445458837389877,1,0.9779272451686247,0.9871656100201022,0.9843822483377147,0.9814022841237934,0.9805482554590988,0.9822851286218667,0.003193878543854872
0.9160895347595215,0.11906030546562822,0.0015584945678710938,0.00023172982889600093,64,{'MLP__max_iter': 64},0.9252119540044706,0.9091661619220675,0.9337068443367658,0.9462951746416315,0.9363281645890342,0.930138207659482,0.012459303199148342,18,0.9926108374384237,0.9937926616448342,0.9908612958094944,0.994605579977468,0.9918756652055265,0.9927492080151493,0.001332767668634947
1.4234608173370362,0.2196859652420585,0.001373624801635742,5.17726589560848e-05,128,{'MLP__max_iter': 128},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.362415647506714,0.189527984683662,0.0013395786285400391,6.298222877751014e-06,256,{'MLP__max_iter': 256},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.3978424549102784,0.2078015060714292,0.001396036148071289,8.023479156748157e-05,512,{'MLP__max_iter': 512},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.3726832389831543,0.19217279538898732,0.0013510227203369141,1.50506909441751e-05,1024,{'MLP__max_iter': 1024},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.5222593784332275,0.24856977361188035,0.0016006946563720704,0.00037321655992246825,2048,{'MLP__max_iter': 2048},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.4883129119873046,0.14600127706081403,0.0014674663543701172,0.0001292943756628259,2100,{'MLP__max_iter': 2100},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
1.4991658210754395,0.23019005313118798,0.0017150402069091796,0.0003104083399971196,2200,{'MLP__max_iter': 2200},0.9270797672030126,0.9148899656773671,0.9366848374722392,0.9430446194225723,0.9356339312861053,0.9314639676395626,0.009722954021605843,3,0.9945812807881773,0.9964037199849788,0.9926108374384237,0.9949258874726635,0.9977111885677967,0.995246582850408,0.0017266078840604889
