,train,test
0.1,0.776024,0.000499
0.2,0.765644,0.00052
0.3,0.672662,0.005148
0.4,0.570949,0.015967
0.5,0.475564,0.020547
0.6,0.390832,0.013855
0.7,0.293221,0.004948
0.8,0.181926,0.007113
0.9,0.088697,0.011767
,,
,,
,0.468391,0.008929333
