mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006557369232177734,0.0009418600432444471,0.0013898849487304688,0.00029612342314998095,1,{'SVM__n_iter': 1},0.8911734498660813,0.8533515041389057,0.8672723601857459,0.904724409448819,0.8783166109253066,0.8789716597200963,0.017922128174047633,36,0.8956280788177339,0.8711745344496233,0.8813072963838388,0.8962380436943604,0.8772185077201674,0.8843132922131447,0.01002220561844783
0.011287975311279296,0.0018174830430414306,0.0016871929168701173,0.0005075259609909384,6,{'SVM__n_iter': 6},0.8915611092091751,0.8523016353725017,0.9013830002018979,0.8805067635776297,0.913413398196007,0.887826394886291,0.020818333122156158,27,0.8940207780725021,0.8912103205283969,0.8952528220194836,0.8840950761006426,0.9036492355495924,0.8936456464541236,0.006323602426802091
0.013426923751831054,0.0031657136034149514,0.002089786529541016,0.0009999308338210448,11,{'SVM__n_iter': 11},0.8867480919105061,0.8930042398546335,0.9163537250151425,0.92610539067232,0.8996300800648624,0.9043643048860537,0.01468783854574418,7,0.9084422761146901,0.9206233846561666,0.9190726545759791,0.9184607568092956,0.9024124576916676,0.9138023059695598,0.007133910806097894
0.01323695182800293,0.0021154459190622587,0.0017956256866455077,0.0013177934940604376,16,{'SVM__n_iter': 16},0.8948234891354693,0.8631031697960833,0.8935998384817284,0.8898950131233595,0.9009121313469141,0.8884648374940367,0.01316675815582666,26,0.887170013894152,0.8936424484746737,0.8979875853232897,0.9022068081910357,0.9051234066593693,0.8972260525085038,0.00635172720550688
0.01876978874206543,0.002761732564136202,0.0017928123474121095,0.0005269439087436848,21,{'SVM__n_iter': 21},0.9102543448053648,0.8811932162325865,0.9038562487381386,0.906511205330103,0.873669808452417,0.8951083263689744,0.01475694103335195,14,0.9109479600858912,0.9058715677395127,0.9109478892840576,0.9038260178046785,0.8627898530620893,0.8988766575952459,0.018259865137119503
0.01691884994506836,0.001434680311320002,0.0011663436889648438,9.106578571051512e-05,26,{'SVM__n_iter': 26},0.9097659947238051,0.8844437714516457,0.8920452251160914,0.9066020593579649,0.9013935340022298,0.8988527170734286,0.009378083590139013,11,0.9076717822407477,0.9158474894519428,0.8957476418741303,0.9012856480151981,0.898952758427618,0.9039010640019274,0.0071377842262677245
0.017464685440063476,0.0008444661328532244,0.0011275291442871093,9.679869477680178e-05,31,{'SVM__n_iter': 31},0.927583220895342,0.88211185140319,0.9110438118312135,0.8876943266707046,0.9169909800344583,0.9050881276827771,0.01740227936032306,6,0.917227169382342,0.9057257726037687,0.9113145861406262,0.898036183701871,0.902155833379572,0.906891909041636,0.006761535878688729
0.019107532501220704,0.002025366334089965,0.0012343883514404296,0.00015146667593516372,36,{'SVM__n_iter': 36},0.9135167247316591,0.857571168988492,0.8911770644054108,0.8861397133050677,0.923989054423837,0.8944754928945914,0.02313059977961723,17,0.9089112037387899,0.8860942366741037,0.8839779981886059,0.888358479312554,0.914522666168971,0.8963729168166049,0.012729010348567191
0.022023773193359374,0.0008650874239447618,0.0010989189147949218,5.76867338238523e-05,41,{'SVM__n_iter': 41},0.8578095736754133,0.8767514637593377,0.9046335554209571,0.897536846355744,0.9008057160231072,0.8874940782076736,0.017717140109774668,28,0.876678350385247,0.9154277761823766,0.9125715169321169,0.9022222713114936,0.9042409847311688,0.9022281799084805,0.01369714692489227
0.022142982482910155,0.002431615243971022,0.0011315345764160156,0.0001118746759831979,46,{'SVM__n_iter': 46},0.8763014277946716,0.9027559055118111,0.9091661619220676,0.9187361195235212,0.9120756055538665,0.9037959340680947,0.014688079292980931,9,0.8959328028293545,0.9155514811460381,0.9070533919459233,0.8834588791446687,0.9023487745085675,0.9008690659149104,0.010802685218257346
0.02590789794921875,0.003520676780792859,0.0011804580688476562,9.87510529003573e-05,51,{'SVM__n_iter': 51},0.9068207906236784,0.9017968907732687,0.9265192812436908,0.9080658186957401,0.8989358467619338,0.9084301743599921,0.00963270902771418,3,0.9266104585070103,0.9293004042501491,0.9246437959751705,0.8962093264706532,0.8926399264553815,0.913880782331673,0.015994412580230464
0.036810874938964844,0.004091559948946461,0.0016406059265136718,0.00018383426220591477,56,{'SVM__n_iter': 56},0.8744487182068994,0.8643448415101956,0.9239551786795881,0.9201998788612963,0.8874531265835612,0.8940763101321663,0.02403658406261226,18,0.8802734621700138,0.8985287945393096,0.9172281252070952,0.9175727318915816,0.8588868936226022,0.8944980014861205,0.022520379758413343
0.033928442001342776,0.0028873178023400693,0.001329517364501953,0.0002574045686059091,61,{'SVM__n_iter': 61},0.8902974404414283,0.8886129618413086,0.8675953967292551,0.8718049666868566,0.9174723826897739,0.8871481902546661,0.017595077384103184,29,0.8927608311229002,0.9145220791269965,0.8749541628929289,0.8515496255715833,0.9090626213763637,0.8885698640181545,0.023095108357587588
0.03025670051574707,0.0017567621445613378,0.0011357307434082032,0.0001300443075458017,66,{'SVM__n_iter': 66},0.8728527700022152,0.9019785988289926,0.906511205330103,0.9297193620028267,0.9106364649842911,0.904327946162921,0.018368291766497444,8,0.8896299103195655,0.9185579535664583,0.9058229693609313,0.9152753539950077,0.8798320403335232,0.9018236455150973,0.014894952129437552
