,0,1,2,3,4
50,1.0,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.9054054054054054
100,0.8250000000000001,0.8782894736842103,0.8782894736842103,0.8782894736842103,0.8782894736842103
300,0.7552158644908078,0.8570916048792154,0.8570916048792154,0.8570916048792154,0.8570916048792154
501,0.8296690307328605,0.8890558226495726,0.8890558226495726,0.8890558226495726,0.8890558226495726
1002,0.8563471130493823,0.795876887340302,0.795876887340302,0.795876887340302,0.795876887340302
2005,0.8209689690337829,0.7889624236018085,0.7889624236018085,0.7889624236018085,0.7889624236018085
3007,0.794031178642569,0.8133971117687959,0.7909176915799434,0.7909176915799434,0.7909176915799434
4010,0.8165138244042719,0.782761930060582,0.7867930957524653,0.7867930957524653,0.7867930957524653
5013,0.8084018898396582,0.8045116798872165,0.7862450173778154,0.7862450173778154,0.7862450173778154
6015,0.8071305725604498,0.814191605053097,0.8135337169937192,0.8036629753350414,0.8036629753350414
7018,0.8076277053214552,0.8115881830784029,0.8139242467883127,0.7750208495520107,0.7750208495520107
8020,0.7865959717134652,0.8085802936983721,0.8131660815865293,0.7842213737116152,0.7851141969848084
9023,0.7882175381255954,0.8104510411997478,0.8132372080256317,0.7824823829989772,0.8067727606919227
10026,0.8092835194207502,0.811483560715945,0.814016664206928,0.8054075332385265,0.8085696696524073
