mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07600669860839844,0.006843785958693805,0.0032551765441894533,0.00023005766638170766,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.13619108200073243,0.017228144547093795,0.00421748161315918,0.00031251150686063345,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.34238443374633787,0.03218732764634942,0.008514165878295898,0.003966473911403623,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.5401426315307617,0.1426979071482439,0.007786703109741211,0.0010050677700727002,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.4979607105255127,0.1495930969883613,0.00887470245361328,0.003549815991765242,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.45482563972473145,0.09931920224023459,0.00786890983581543,0.003036814655560143,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.3977898120880127,0.1268979172866101,0.006493043899536133,0.001516604276411134,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.3592482566833496,0.11463395363834061,0.005065107345581054,0.001519026319441914,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.38019652366638185,0.12091130088494367,0.005740547180175781,0.001803379955179968,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.3222644329071045,0.093182136599152,0.004857635498046875,0.0011158546979948675,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",0.7474961042764063,0.752393701997196,0.7423278446380902,0.7629178840165777,0.7448329774086059,0.7499928838097495,0.007271550699284104,100,0.9417897049918115,0.9440364935510566,0.945588680540137,0.9408872590690772,0.9436332981787527,0.9431870872661671,0.0016691394444869323
0.8069226264953613,0.06818076948162786,0.0020705223083496093,0.00010258257973495756,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",0.7714962018873779,0.7656376308810255,0.7591994280256935,0.7684995698333049,0.7623689301732457,0.7654408362876259,0.004346687986046724,88,0.8940082151194699,0.8838342449992935,0.8856791070383304,0.8624643715552807,0.8656631111176565,0.8783298099660062,0.012184258338761713
1.6087594509124756,0.07372859057215675,0.002429485321044922,0.00023050699834373473,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",0.7714962018873779,0.7656376308810255,0.7591994280256935,0.7684995698333049,0.7623689301732457,0.7654408362876259,0.004346687986046724,88,0.8940082151194699,0.8838342449992935,0.8856791070383304,0.8624643715552807,0.8656631111176565,0.8783298099660062,0.012184258338761713
