param_SVM__n_iter,train acc,test acc
1,0.7831333554553362,0.7874857454556514
4,0.8056921421640347,0.8019688376654478
7,0.7937542211965657,0.7831124512494584
10,0.7718120643683246,0.7668349969970426
13,0.7499509796527851,0.738058398017288
16,0.7955947885924205,0.7915285242935448
19,0.5688641608470717,0.5609508161201792
22,0.6397290431730996,0.6371500034210906
25,0.7871080886086769,0.7891579935683496
28,0.7128054973177071,0.7137482229334713
31,0.7363354734695178,0.7369285828322069
34,0.6433785451766492,0.6415005853866214
37,0.7397998922390315,0.7265276120027065
40,0.8000753321233267,0.7895785976569331
43,0.8106945219552499,0.794821419068399
46,0.7131896995262205,0.7158710096778854
49,0.6554525290309391,0.6565845541558649
52,0.8069690803112499,0.7860290260535059
55,0.7462757105436483,0.7464799828185226
58,0.8243613528610286,0.8110371986589325
61,0.7600028741844607,0.7582822703877996
64,0.6952379875010684,0.6948730205189414
67,0.6766442974671983,0.6758033861194949
70,0.5479655717951168,0.5407608695652175
73,0.6822682301224587,0.6789437572698177
