,train,test
0.1,2.210337,0.003355
0.2,1.695082,0.002233
0.3,2.360759,0.004532
0.4,1.233282,0.003728
0.5,0.827306,0.003458
0.6,0.51065,0.003485
0.7,0.588554,0.005459
0.8,0.219677,0.004214
0.9,0.090727,0.003439
,,
,,
,1.081819333,0.003767
