,0,1,2,3,4
100,0.8375000000000001,0.9002192982456139,0.9002192982456139,0.9002192982456139,0.9002192982456139
300,0.8303036562693659,0.8546400382683569,0.8546400382683569,0.8546400382683569,0.8546400382683569
501,0.7959219858156028,0.8400774572649572,0.8400774572649572,0.8400774572649572,0.8400774572649572
1002,0.7919410858381427,0.8155407149309589,0.8155407149309589,0.8155407149309589,0.8155407149309589
2005,0.7919108244168542,0.8020050600720027,0.8020050600720027,0.8020050600720027,0.8020050600720027
3007,0.7956881892824175,0.7991261407857997,0.7986665714642723,0.7986665714642723,0.7986665714642723
4010,0.7980530447715324,0.8025106897113135,0.8071953023829518,0.8071953023829518,0.8071953023829518
5013,0.7985974543377977,0.787997889768276,0.8020879559631107,0.8020879559631107,0.8020879559631107
6015,0.801714179507268,0.8069493001750371,0.8079938012735163,0.8046058890935297,0.8046058890935297
7018,0.7951156409647443,0.7968335941311784,0.8059326596944651,0.8016510920182874,0.8016510920182874
8020,0.7997502368259549,0.8068768691326677,0.8085348051997799,0.7963519250185374,0.7987337300786259
9023,0.8013243190089915,0.8001446815012533,0.7780680084185704,0.7901791346288414,0.7675796807344625
10026,0.8053699205077167,0.8094273919231274,0.8086101676050502,0.8050307158167019,0.8097458853332195
