mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23643393516540528,0.00693092582392281,0.0024261951446533205,0.00037104520237047744,0.1,100,"{'SVM__alpha': 0.1, 'SVM__n_iter': 100}",0.7796135999972111,0.7823276351236922,0.7713997133144654,0.7862844515483817,0.7790196566527354,0.77972853570125,0.004891064415390685,7,0.7846135475248764,0.7872898290374019,0.7837252487737923,0.7782122327576873,0.7824077096804369,0.7832497135548391,0.0029830820726529776
0.23628482818603516,0.032965684938066904,0.002278041839599609,0.0002387369128789076,0.03162277660168379,100,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 100}",0.7988935099162289,0.7991167222170814,0.7927832765607513,0.7992296304060162,0.8004131347142338,0.798087042380507,0.0027039701228092727,6,0.8018499736510172,0.8023454372968937,0.8009456431786529,0.7989946171764352,0.7992224264951537,0.8006716195596304,0.0013548262366382677
0.21380510330200195,0.009177792210529176,0.0020823955535888674,0.00010517533975271,0.01,100,"{'SVM__alpha': 0.01, 'SVM__n_iter': 100}",0.8064574886788702,0.8020023465612577,0.8024519295403081,0.8070193596848646,0.8031268969914533,0.8042116460047937,0.0021015000136848094,4,0.8108945839851449,0.8079123185919302,0.8057677169327655,0.8039139402775767,0.8037394219212401,0.8064455963417314,0.0026883804836691917
0.22020277976989747,0.0053579825955650225,0.0023116588592529295,9.064941512681132e-05,0.0031622776601683794,100,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 100}",0.8087748777248276,0.8063344932283201,0.8044231108348625,0.8093370192286695,0.8047907905022688,0.8067321683346097,0.002010761895980342,3,0.8134626274498331,0.808262519427568,0.8083281190077306,0.8080461716825353,0.8063531063531063,0.8088905087841546,0.0023985928468132607
0.265252685546875,0.06852657486845753,0.0022053241729736326,0.0001474910131422589,0.001,100,"{'SVM__alpha': 0.001, 'SVM__n_iter': 100}",0.8141521964211633,0.8117609161366244,0.8084929280160907,0.8184390844655234,0.8074600075988837,0.8120610515899584,0.003975594578831149,1,0.8130146183370581,0.8099590254930061,0.8108885210826958,0.8120460484096848,0.810399837672565,0.8112616101990021,0.0011195494746363197
0.36402482986450196,0.12586381400604377,0.0042113780975341795,0.0023216215092353924,0.00031622776601683794,100,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 100}",0.8098250671946955,0.8056522619698195,0.7988618130328432,0.8230298583725287,0.817656486782746,0.8110035132850718,0.008559146827152402,2,0.8116980424037432,0.8095290959368628,0.8104949236017197,0.8114809023899933,0.8129245038335946,0.8112254936331826,0.001147751658649956
0.28704681396484377,0.03675690024195442,0.002825021743774414,0.0012155162240578292,0.0001,100,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 100}",0.791551770418995,0.8102017798248111,0.7963733930682161,0.805994820530961,0.8078465025482463,0.8023920659238992,0.007176477585055715,5,0.7965836699177571,0.8067284984760712,0.8092061441576004,0.800644318826137,0.8026308117217207,0.8031586886198573,0.004453017882349647
0.33426942825317385,0.052254243250254274,0.003075695037841797,0.0006778129857842676,3.1622776601683795e-05,100,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 100}",0.7646704060965024,0.7944921283694718,0.7870194481739947,0.7817491407584035,0.762986448657312,0.7781833642859647,0.012412496200782577,8,0.7562591386436757,0.79581171911269,0.800873988252629,0.772490545217818,0.7543505088959636,0.7759571800245552,0.019400663303413723
0.32237930297851564,0.12326318252901401,0.0025062084197998045,0.0007528707944354761,1e-05,100,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 100}",0.7424647816128819,0.7789025112046555,0.7650588473565395,0.7610443661264471,0.7201706691821591,0.7535294141280828,0.020338022352256162,9,0.7436812650655275,0.7803241628484346,0.7761237712694024,0.7535909626818718,0.7155979155979156,0.7538636154926304,0.023510395529564465
0.1784050464630127,0.008807639815958957,0.0019390583038330078,6.016524848414479e-05,3.162277660168379e-06,100,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 100}",0.7298320045458824,0.7602024782061377,0.7580959855295389,0.7664959101410159,0.7076914678510444,0.744463577886909,0.022292603399565934,13,0.7287479190416042,0.7560089215429021,0.7712683931130533,0.7527605618514709,0.7040855131764223,0.7425742617450906,0.023580311650351415
0.23160057067871093,0.09311770690800991,0.002672433853149414,0.0009309187681251143,1e-06,100,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 100}",0.7215673184523084,0.7672251389342352,0.7787597795210152,0.763638904537931,0.7032644629903791,0.7468912449554528,0.029168052010442275,12,0.734975840580577,0.7695072966917628,0.7812142986900268,0.7432311068674705,0.7016182288909562,0.7461093543441587,0.027898102103841516
0.34336237907409667,0.0844400857659111,0.002790689468383789,0.0015078942372839371,3.162277660168379e-07,100,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 100}",0.7138307774365267,0.7778008146618176,0.7459917276731856,0.727865194055402,0.7443512780536375,0.7419666485200188,0.021433015932119354,14,0.7097550395976967,0.7848071372343217,0.7670629554124698,0.7125977489613854,0.7369407823953279,0.7422327327202403,0.029631596075356443
