mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20481390953063966,0.02979016377666004,0.0012345314025878906,0.00032488648127510146,relu,10.0,"(57,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,)}",0.9001097529049277,0.8760246315364428,0.9007470220068647,0.9235009085402788,0.9164589034154251,0.9033631663048528,0.016380485462550783,194,0.9101300997852723,0.9021361196403721,0.9074068346992424,0.9075305396629041,0.91008722704505,0.9074581641665682,0.00291146844169776
0.1617790699005127,0.016432571708623316,0.0010878086090087891,5.1734875936503835e-05,relu,10.0,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28,)}",0.9033570292204524,0.8826165960024229,0.8922774076317384,0.9189683020391682,0.9256460930373974,0.9045661635167276,0.01603344210392536,191,0.9062839459391184,0.9140824847025558,0.9020102056595022,0.9065696171773179,0.9091729635252992,0.9076238434007587,0.003963167103554829
0.19868049621582032,0.034685555658405136,0.0012775421142578124,0.0001211178208841565,relu,10.0,"(114,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114,)}",0.8856404937873815,0.8851806985665254,0.8980920654149002,0.911003432263275,0.9198236546062633,0.8999374530392161,0.01373455887160289,199,0.9066344574965265,0.9143541938191698,0.9114957255517021,0.8897722503258302,0.9099387380389111,0.9064390730464279,0.008698134065981874
0.24379963874816896,0.02956472203114556,0.0012934684753417968,0.00014210278545920808,relu,10.0,"(57, 57)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57, 57)}",0.9099522725899672,0.8937411669695136,0.9066525338178882,0.9340298808802748,0.9320563494476537,0.9152795761209175,0.01548773812474238,130,0.9247363268914991,0.923073184740109,0.9188848881132784,0.9118646314254788,0.9148599978814307,0.9186838058103591,0.004838651450308595
0.22883334159851074,0.055659410645219974,0.0014132022857666015,0.00044382125624639336,relu,10.0,"(28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28)}",0.8849507622288902,0.8838986472844742,0.9066525338178882,0.9294064203513023,0.9293858315597445,0.9068450393374876,0.020114631268719093,185,0.9005510294303398,0.9183193797079681,0.9186882855817445,0.9132695663699221,0.9131884719567006,0.912803346609335,0.006565730523060565
0.3567960262298584,0.046325156885016136,0.0015813827514648438,0.00013345660934226456,relu,10.0,"(114, 114)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114, 114)}",0.8974515174094287,0.8714011710074704,0.9007470220068645,0.9267514637593378,0.8960018242626937,0.8984710499044221,0.017577649835113583,208,0.9153767209801693,0.9115465329474917,0.909377278048996,0.9076785438158562,0.8897615726845802,0.9067481296954186,0.00887466587440758
0.38460683822631836,0.07735833599647517,0.0018732070922851563,0.0003764339415320576,relu,10.0,"(57, 57, 57)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57, 57, 57)}",0.9158577844009909,0.8910862103775491,0.9085301837270343,0.9294064203513023,0.9313621161447249,0.9152437279904619,0.014758156092426531,131,0.9237511052166224,0.9257836488546247,0.9183436788972585,0.9137621772073604,0.9175709468491328,0.9198423114049998,0.004357778974484743
0.28600382804870605,0.038553514857576805,0.001205587387084961,8.616337936456974e-05,relu,10.0,"(28, 28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28, 28)}",0.9072940370944681,0.8898041590954976,0.9065616797900263,0.93137492428831,0.9347268673355629,0.9139438140082757,0.01683220274356326,140,0.9222732727043073,0.9242064105679384,0.9205858313636262,0.9159049238993572,0.9178127537869425,0.9201566384644343,0.002987837788927272
0.5796719074249268,0.12048273044471088,0.001904296875,0.00014555858642371835,relu,10.0,"(114, 114, 114)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114, 114, 114)}",0.8948939726523956,0.8904906117504544,0.9131536442560066,0.9333434282253181,0.9400679031113816,0.9143758828281613,0.019854253634042432,134,0.9163856258683845,0.927038370628907,0.9216682497956659,0.9163975347367956,0.9232028101307964,0.9209385182321098,0.004104073225477464
0.23809213638305665,0.06159364323303713,0.0011750221252441405,0.00010288324981597758,relu,3.1622776601683795,"(57,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (57,)}",0.9072940370944681,0.880648092065415,0.917686250757117,0.9399353926912983,0.9333384007297051,0.9157723463559126,0.020982419066195267,127,0.9267067702412529,0.9081203472575051,0.9299940356535378,0.929181117320904,0.9247810181238556,0.9237566577194111,0.008032139546250315
0.1658324718475342,0.035118944513448616,0.0009935379028320312,4.1931694334739046e-05,relu,3.1622776601683795,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (28,)}",0.9126105080854662,0.8904906117504544,0.9078437310720775,0.9131536442560066,0.9425255903516773,0.9133155267049172,0.016753174322838155,141,0.9245642288745736,0.9258565464224967,0.9159049238993572,0.9108308113720206,0.9248043476067733,0.9203921716350443,0.005971394352308594
