,0,1,2,3,4
50,1.0,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.9864864864864864
100,0.9583333333333333,0.8826754385964911,0.8826754385964911,0.8826754385964911,0.8826754385964911
300,0.9617331129931832,0.9551542693135612,0.9551542693135612,0.9551542693135612,0.9551542693135612
501,0.9669917257683215,0.9553952991452991,0.9553952991452991,0.9553952991452991,0.9553952991452991
1002,0.9639699161726685,0.962946831849271,0.962946831849271,0.962946831849271,0.962946831849271
2005,0.9425770648191614,0.9057973668787676,0.9057973668787676,0.9057973668787676,0.9057973668787676
3007,0.9381294636350386,0.921170957999182,0.9375748975086724,0.9375748975086724,0.9375748975086724
4010,0.9318349577968762,0.9353630217393166,0.9248139637972336,0.9248139637972336,0.9248139637972336
5013,0.9133674033888626,0.915926784328072,0.8922271093918749,0.8922271093918749,0.8922271093918749
6015,0.9143701084217153,0.9211180221651992,0.8224149751192825,0.9247980696856721,0.9247980696856721
7018,0.9169140737072541,0.9052030433339904,0.9155282798627569,0.9129139265948564,0.9129139265948564
8020,0.9028532448897986,0.9113309455861791,0.9070374127510075,0.8714241935881054,0.8799963264645494
9023,0.8954209383871331,0.884128878765691,0.9032792670732623,0.8942432988464017,0.8602528242303226
10026,0.8797853311043301,0.865889580192165,0.88695826528132,0.893427014369148,0.8485497024822868
