,train,test
0.1,100.015315,0.012591
0.2,103.551241,0.026227
0.3,79.695008,0.039759
0.4,59.946138,0.064855
0.5,49.389871,0.075603
0.6,50.928477,0.076672
0.7,44.603858,0.107799
0.8,37.063879,0.096554
0.9,20.143725,0.113173
,,
,60.59305689,0.068137
