,0,1,2,3,4
12,1.0,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
25,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
77,0.6964285714285712,0.814814814814815,0.814814814814815,0.814814814814815,0.814814814814815
128,0.8507536446750681,0.6606425702811245,0.6606425702811245,0.6606425702811245,0.6606425702811245
257,0.9113393291200779,0.7790764331210192,0.7790764331210192,0.7790764331210192,0.7790764331210192
515,0.8020708421732312,0.9424621707453764,0.9424621707453764,0.9424621707453764,0.9424621707453764
772,0.9077143015767265,0.9310999965266925,0.9429426948890035,0.9429426948890035,0.9429426948890035
1030,0.9135359245803059,0.9238906846899796,0.9319008264462811,0.9319008264462811,0.9319008264462811
1287,0.9471091113610799,0.9607165367722831,0.9185231419243326,0.9171910798075095,0.9171910798075095
1545,0.9651498259544543,0.9349137810521018,0.9170741126473095,0.9196332254584682,0.9196332254584682
1802,0.94591785988775,0.9688716229744305,0.9289892981470358,0.9627765424986623,0.9627765424986623
2060,0.9677086419753086,0.969995061728395,0.936320987654321,0.9321827160493826,0.9620761183261182
2317,0.9422546245410538,0.9246934511977424,0.9264536220699547,0.9514004193852653,0.9725307601813628
2575,0.9655993431855501,0.9701990834277829,0.9495436723791328,0.970148541811184,0.9413338185328528
