,train,test
0.1,1.053909,0.000904
0.2,0.940453,0.0038
0.3,0.875905,0.004871
0.4,0.863063,0.005833
0.5,0.674229,0.021571
0.6,0.545309,0.021026
0.7,0.420601,0.032537
0.8,0.343377,0.025471
0.9,0.130554,0.041782
,,
,,
,0.649711111,0.017532778
