,0,1,2,3,4
50,1.0,0.5,0.5,0.5,0.5
100,0.5000000000000001,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997
300,0.5,0.5,0.5,0.5,0.5
501,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
1002,0.4999999999999999,0.5,0.5,0.5,0.5
2005,0.5,0.5,0.5,0.5,0.5
3007,0.5000000000000001,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001
4010,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5000000000000001
5013,0.7703543672427793,0.7604162019398071,0.7759616706265833,0.7759616706265833,0.7759616706265833
6015,0.7640590660481923,0.7788425783675702,0.7743660791809341,0.7757137717370793,0.7757137717370793
7018,0.7672535039271271,0.7819934949325493,0.7683721554366385,0.766547410437515,0.766547410437515
8020,0.7821853422375615,0.7765370666279957,0.7717063932887706,0.7824107262563718,0.7724510214758068
9023,0.7693045064678387,0.7704599587184465,0.7791068080759321,0.7771788256594672,0.7877599729785456
10026,0.7769254622860263,0.7806122757966348,0.7800788716810237,0.7798377445405393,0.7806259491652752
