,train,test
0.1,1.161542,2.270621
0.2,0.979998,3.761892
0.3,0.897192,5.443314
0.4,0.810652,5.63645
0.5,0.649325,6.003407
0.6,0.417442,5.602933
0.7,0.218432,5.24317
0.8,0.031007,3.767535
0.9,0.008066,2.312734
,,
,0.574850667,4.449117333
