,train,test
0.1,0.014491,0.144656
0.2,0.012181,0.251379
0.3,0.011306,0.311288
0.4,0.007152,0.413919
0.5,0.007144,0.449076
0.6,0.004734,0.370669
0.7,0.003533,0.354826
0.8,0.006475,0.442536
0.9,0.001733,0.286882
,,
,,
,0.007638778,0.336136778
